opponent,seed,seat,margin,primary_reason,secondary_reason,evidence,status
15-16-strict-future-v25-meta-reset,11,0,2352.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=2 vs 3; max_hands=12 vs 14; weeds=9 vs 2; sell_qty=1123 vs 1454,"[""DONE"", ""DONE""]"
15-16-strict-future-v25-meta-reset,11,1,16400.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=1 vs 3; max_hands=12 vs 14; weeds=13 vs 2; sell_qty=1134 vs 1454,"[""DONE"", ""DONE""]"
15-16-strict-future-v25-meta-reset,47,0,-12663.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 11; max_hands=12 vs 14; weeds=15 vs 2; sell_qty=997 vs 1454,"[""DONE"", ""DONE""]"
15-16-strict-future-v25-meta-reset,47,1,-21643.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 11; crops=0 vs 3; max_hands=12 vs 14; weeds=13 vs 2; sell_qty=1052 vs 1454,"[""DONE"", ""DONE""]"
15-16-strict-future-v25-meta-reset,101,0,8283.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 11; crops=0 vs 3; max_hands=12 vs 14; weeds=19 vs 2; sell_qty=1095 vs 1454,"[""DONE"", ""DONE""]"
15-16-strict-future-v25-meta-reset,101,1,7591.0,杂草占用有效土地,清理路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 11; crops=0 vs 3; max_hands=12 vs 14; weeds=29 vs 3; sell_qty=1102 vs 1454,"[""DONE"", ""DONE""]"
kaggriculture-3000-socre,11,0,-35649.0,销售周转不足,有效产出没有及时变现,land second_land_day=day_7_vs_6; animals=15 vs 14; weeds=14 vs 18; buy_qty=475 vs 739; sell_qty=970 vs 3848,"[""DONE"", ""DONE""]"
kaggriculture-3000-socre,11,1,-11557.0,销售周转不足,有效产出没有及时变现,land second_land_day=day_7_vs_6; animals=15 vs 14; weeds=11 vs 18; buy_qty=473 vs 739; sell_qty=1054 vs 3844,"[""DONE"", ""DONE""]"
kaggriculture-3000-socre,47,0,-21249.0,销售周转不足,有效产出没有及时变现,land second_land_day=day_7_vs_6; animals=15 vs 14; crops=0 vs 1; weeds=17 vs 25; buy_qty=472 vs 1061; sell_qty=1040 vs 4013,"[""DONE"", ""DONE""]"
kaggriculture-3000-socre,47,1,-23460.0,销售周转不足,有效产出没有及时变现,land second_land_day=day_7_vs_6; animals=15 vs 14; crops=0 vs 1; weeds=18 vs 26; buy_qty=484 vs 1061; sell_qty=1073 vs 4013,"[""DONE"", ""DONE""]"
kaggriculture-3000-socre,101,0,-16070.0,销售周转不足,有效产出没有及时变现,land second_land_day=day_7_vs_6; animals=15 vs 14; crops=0 vs 1; weeds=21 vs 18; buy_qty=477 vs 739; sell_qty=1105 vs 3911,"[""DONE"", ""DONE""]"
kaggriculture-3000-socre,101,1,-16070.0,销售周转不足,有效产出没有及时变现,land second_land_day=day_7_vs_6; animals=15 vs 14; crops=0 vs 1; weeds=20 vs 19; buy_qty=477 vs 739; sell_qty=1105 vs 3911,"[""DONE"", ""DONE""]"
kaggriculture-breaking-the-tie-2883-score,11,0,6453.0,雇工规模不足,路线吞吐不足,"land second_land_day=day_7_vs_6, third_land_day=day_11_vs_10; animals=15 vs 12; crops=2 vs 1; max_hands=12 vs 14; weeds=4 vs 6; sell_qty=1097 vs 1708","[""DONE"", ""DONE""]"
kaggriculture-breaking-the-tie-2883-score,11,1,2013.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; max_hands=12 vs 14; weeds=2 vs 5; sell_qty=1122 vs 1712,"[""DONE"", ""DONE""]"
kaggriculture-breaking-the-tie-2883-score,47,0,-19732.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=2 vs 1; max_hands=12 vs 14; weeds=7 vs 6; sell_qty=1004 vs 1711,"[""DONE"", ""DONE""]"
kaggriculture-breaking-the-tie-2883-score,47,1,-32096.0,杂草占用有效土地,清理路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=0 vs 1; max_hands=12 vs 14; weeds=24 vs 5; sell_qty=1047 vs 1712,"[""DONE"", ""DONE""]"
kaggriculture-breaking-the-tie-2883-score,101,0,-25437.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; max_hands=12 vs 14; weeds=14 vs 6; sell_qty=1083 vs 1712,"[""DONE"", ""DONE""]"
kaggriculture-breaking-the-tie-2883-score,101,1,-25023.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; max_hands=12 vs 14; weeds=19 vs 6; sell_qty=1089 vs 1712,"[""DONE"", ""DONE""]"
kaggriculture-frontier-the-soil-remembers-rain,11,0,4282.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=3 vs 1; max_hands=12 vs 14; weeds=3 vs 5; sell_qty=1105 vs 1948,"[""DONE"", ""DONE""]"
kaggriculture-frontier-the-soil-remembers-rain,11,1,5837.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=2 vs 1; max_hands=12 vs 14; weeds=7 vs 5; sell_qty=1076 vs 1948,"[""DONE"", ""DONE""]"
kaggriculture-frontier-the-soil-remembers-rain,47,0,-20657.0,雇工规模不足,路线吞吐不足,"land second_land_day=day_7_vs_6, third_land_day=day_11_vs_10; animals=15 vs 12; crops=4 vs 1; max_hands=12 vs 14; weeds=12 vs 5; sell_qty=1033 vs 1948","[""DONE"", ""DONE""]"
kaggriculture-frontier-the-soil-remembers-rain,47,1,-27078.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=0 vs 1; max_hands=12 vs 14; weeds=19 vs 5; sell_qty=1055 vs 1948,"[""DONE"", ""DONE""]"
kaggriculture-frontier-the-soil-remembers-rain,101,0,-40613.0,杂草占用有效土地,清理路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=0 vs 1; max_hands=12 vs 14; weeds=21 vs 6; sell_qty=1052 vs 1948,"[""DONE"", ""DONE""]"
kaggriculture-frontier-the-soil-remembers-rain,101,1,-40848.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=0 vs 1; max_hands=12 vs 14; weeds=15 vs 6; sell_qty=1057 vs 1948,"[""DONE"", ""DONE""]"
kaggriculture-multi-route-farming-agent,11,0,-44210.0,销售周转不足,有效产出没有及时变现,land second_land_day=day_7_vs_6; animals=15 vs 14; crops=6 vs 4; weeds=4 vs 12; buy_qty=451 vs 701; sell_qty=1037 vs 4572,"[""DONE"", ""DONE""]"
kaggriculture-multi-route-farming-agent,11,1,-22635.0,销售周转不足,有效产出没有及时变现,land second_land_day=day_7_vs_6; animals=15 vs 14; crops=10 vs 4; weeds=2 vs 11; buy_qty=455 vs 701; sell_qty=1028 vs 4601,"[""DONE"", ""DONE""]"
kaggriculture-multi-route-farming-agent,47,0,-24664.0,销售周转不足,有效产出没有及时变现,land second_land_day=day_7_vs_6; crops=0 vs 2; weeds=17 vs 31; buy_qty=477 vs 1018; sell_qty=1068 vs 4730,"[""DONE"", ""DONE""]"
kaggriculture-multi-route-farming-agent,47,1,-24520.0,销售周转不足,有效产出没有及时变现,land second_land_day=day_7_vs_6; crops=0 vs 2; weeds=20 vs 31; buy_qty=477 vs 1018; sell_qty=1068 vs 4730,"[""DONE"", ""DONE""]"
kaggriculture-multi-route-farming-agent,101,0,-16777.0,杂草占用有效土地,清理路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 14; crops=0 vs 4; weeds=21 vs 11; buy_qty=474 vs 701; sell_qty=1115 vs 4622,"[""DONE"", ""DONE""]"
kaggriculture-multi-route-farming-agent,101,1,-17517.0,杂草占用有效土地,清理路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 14; crops=0 vs 4; weeds=21 vs 12; buy_qty=477 vs 701; sell_qty=1103 vs 4622,"[""DONE"", ""DONE""]"
kaggriculture-pure-architecture-2600-elo-v3,11,0,-14847.0,销售周转不足,有效产出没有及时变现,animals=15 vs 13; crops=0 vs 7; weeds=17 vs 19; buy_qty=474 vs 1112; sell_qty=1028 vs 3527,"[""DONE"", ""DONE""]"
