opponent,seed,hands,quadrants,money,COW,SHEEP,GOOSE,WHEAT,MELON,STRAWBERRY,PASTURE,COOP,WEED
ref_A,11,0,1,30.0,3,2,0,7,12,0,0,0,0
ref_A,47,0,1,30.0,3,2,0,7,12,0,0,0,0
ref_A,101,0,1,30.0,3,2,0,7,12,0,0,0,0
ref_A,2029,0,1,30.0,3,2,0,7,12,0,0,0,0
ref_A,3137,0,1,30.0,3,2,0,7,12,0,0,0,0
ref_A,7717,0,1,30.0,3,2,0,7,12,0,0,0,0
ref_A,5,0,1,30.0,3,2,0,7,12,0,0,0,0
ref_A,19,0,1,30.0,3,2,0,7,12,0,0,0,0
ref_B,11,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_B,47,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_B,101,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_B,2029,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_B,3137,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_B,7717,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_B,5,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_B,19,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_C,11,0,1,35.0,1,4,0,6,5,3,0,0,0
ref_C,47,0,1,33.0,1,4,0,6,5,3,0,0,0
ref_C,101,0,1,33.0,1,4,0,6,5,3,0,0,0
ref_C,2029,0,1,35.0,1,4,0,6,5,3,0,0,0
ref_C,3137,0,1,35.0,1,4,0,6,5,3,0,0,1
ref_C,7717,0,1,33.0,1,4,0,6,5,3,0,0,0
ref_C,5,0,1,33.0,1,4,0,6,5,3,0,0,0
ref_C,19,0,1,33.0,1,4,0,6,5,3,0,0,0
ref_D,11,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_D,47,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_D,101,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_D,2029,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_D,3137,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_D,7717,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_D,5,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_D,19,0,1,10.0,3,2,0,7,12,0,0,0,0
ref_E,11,0,1,35.0,1,4,0,6,5,3,0,0,0
ref_E,47,0,1,33.0,1,4,0,6,5,3,0,0,0
ref_E,101,0,1,33.0,1,4,0,6,5,3,0,0,0
ref_E,2029,0,1,35.0,1,4,0,6,5,3,0,0,0
ref_E,3137,0,1,35.0,1,4,0,6,5,3,0,0,1
ref_E,7717,0,1,33.0,1,4,0,6,5,3,0,0,0
ref_E,5,0,1,33.0,1,4,0,6,5,3,0,0,0
ref_E,19,0,1,33.0,1,4,0,6,5,3,0,0,0
ref_F,11,0,1,801.0,3,1,0,11,8,0,0,0,0
ref_F,47,0,1,801.0,3,1,0,11,8,0,0,0,0
ref_F,101,0,1,801.0,3,1,0,11,8,0,0,0,0
ref_F,2029,0,1,801.0,3,1,0,11,8,0,0,0,0
ref_F,3137,0,1,801.0,3,1,0,11,8,0,0,0,0
ref_F,7717,0,1,801.0,3,1,0,11,8,0,0,0,0
ref_F,5,0,1,801.0,3,1,0,11,8,0,0,0,0
ref_F,19,0,1,801.0,3,1,0,11,8,0,0,0,0
